TABLE_NAME	COLUMN_NAME	SEQ	DATATYPE	SEND_IG_VERSIONS	REQUIRED
BG	STUDYID	1	TEXT	3.0,3.1	Y
BG	DOMAIN	2	TEXT	3.0,3.1	Y
BG	USUBJID	3	TEXT	3.0,3.1	Y
BG	BGSEQ	4	INTEGER	3.0,3.1	Y
BG	BGTESTCD	5	TEXT	3.0,3.1	Y
BG	BGTEST	6	TEXT	3.0,3.1	Y
BG	BGORRES	7	TEXT	3.0,3.1	Y
BG	BGORRESU	8	TEXT	3.0,3.1	Y
BG	BGSTRESC	9	TEXT	3.0,3.1	Y
BG	BGSTRESN	10	REAL	3.0,3.1	Y
BG	BGSTRESU	11	TEXT	3.0,3.1	Y
BG	BGSTAT	12	TEXT	3.0,3.1	N
BG	BGREASND	13	TEXT	3.0,3.1	N
BG	BGEXCLFL	14	TEXT	3.0,3.1	N
BG	BGREASEX	15	TEXT	3.0,3.1	N
BG	BGDTC	16	TEXT	3.0,3.1	N
BG	BGENDTC	17	TEXT	3.0,3.1	N
BG	BGDY	18	INTEGER	3.0,3.1	N
BG	BGENDY	19	INTEGER	3.0,3.1	N
BG	BGELTM	20	TEXT	3.0	N
BG	BGTPTREF	21	TEXT	3.0	N
BG	BGRFTDTC	22	TEXT	3.0	N
BW	STUDYID	1	TEXT	3.0,3.1	Y
BW	DOMAIN	2	TEXT	3.0,3.1	Y
BW	USUBJID	3	TEXT	3.0,3.1	Y
BW	BWSEQ	4	INTEGER	3.0,3.1	Y
BW	BWTESTCD	5	TEXT	3.0,3.1	Y
BW	BWTEST	6	TEXT	3.0,3.1	Y
BW	BWORRES	7	TEXT	3.0,3.1	Y
BW	BWORRESU	8	TEXT	3.0,3.1	Y
BW	BWSTRESC	9	TEXT	3.0,3.1	Y
BW	BWSTRESN	10	REAL	3.0,3.1	Y
BW	BWSTRESU	11	TEXT	3.0,3.1	Y
BW	BWSTAT	12	TEXT	3.0,3.1	N
BW	BWREASND	13	TEXT	3.0,3.1	N
BW	BWBLFL	14	TEXT	3.0,3.1	N
BW	BWFAST	15	TEXT	3.0,3.1	N
BW	BWEXCLFL	16	TEXT	3.0,3.1	N
BW	BWREASEX	17	TEXT	3.0,3.1	N
BW	BWUSCHFL	18	TEXT	3.1	N
BW	VISITDY	19	INTEGER	3.0,3.1	N
BW	BWDTC	20	TEXT	3.0,3.1	N
BW	BWDY	21	INTEGER	3.0,3.1	N
BW	BWNOMDY	22	INTEGER	3.1	N
BW	BWNOMLBL	23	TEXT	3.1	N
CL	STUDYID	1	TEXT	3.0,3.1	Y
CL	DOMAIN	2	TEXT	3.0,3.1	Y
CL	USUBJID	3	TEXT	3.0,3.1	Y
CL	POOLID	4	TEXT	3.0,3.1	N
CL	FOCID	5	TEXT	3.1	N
CL	CLSEQ	6	INTEGER	3.0,3.1	Y
CL	CLGRPID	7	TEXT	3.0,3.1	N
CL	CLSPID	8	TEXT	3.0,3.1	N
CL	CLTESTCD	9	TEXT	3.0,3.1	Y
CL	CLTEST	10	TEXT	3.0,3.1	Y
CL	CLCAT	11	TEXT	3.0,3.1	N
CL	CLSCAT	12	TEXT	3.0,3.1	N
CL	CLBODSYS	13	TEXT	3.0,3.1	N
CL	CLORRES	14	TEXT	3.0,3.1	Y
CL	CLSTRESC	15	TEXT	3.0,3.1	Y
CL	CLRESCAT	16	TEXT	3.0,3.1	N
CL	CLSTAT	17	TEXT	3.0,3.1	N
CL	CLREASND	18	TEXT	3.0,3.1	N
CL	CLLOC	19	TEXT	3.0,3.1	N
CL	CLEVAL	20	TEXT	3.0,3.1	N
CL	CLSEV	21	TEXT	3.0,3.1	N
CL	CLEXCLFL	22	TEXT	3.0,3.1	N
CL	CLREASEX	23	TEXT	3.0,3.1	N
CL	CLUSCHFL	24	TEXT	3.1	N
CL	VISITDY	25	INTEGER	3.0,3.1	N
CL	CLDTC	26	TEXT	3.0,3.1	N
CL	CLENDTC	27	TEXT	3.1	N
CL	CLDY	28	INTEGER	3.0,3.1	N
CL	CLENDY	29	INTEGER	3.1	N
CL	CLNOMDY	30	INTEGER	3.1	N
CL	CLNOMLBL	31	TEXT	3.1	N
CL	CLTPT	32	TEXT	3.0,3.1	N
CL	CLTPTNUM	33	REAL	3.0,3.1	N
CL	CLELTM	34	TEXT	3.0,3.1	N
CL	CLTPTREF	35	TEXT	3.0,3.1	N
CL	CLRFTDTC	36	TEXT	3.0,3.1	N
CO	STUDYID	86	TEXT	3.0,3.1	Y
CO	DOMAIN	87	TEXT	3.0,3.1	Y
CO	RDOMAIN	88	TEXT	3.0,3.1	N
CO	USUBJID	89	TEXT	3.0,3.1	Y
CO	POOLID	90	TEXT	3.0,3.1	N
CO	COSEQ	91	INTEGER	3.0,3.1	Y
CO	IDVAR	92	TEXT	3.0,3.1	N
CO	IDVARVAL	93	TEXT	3.0,3.1	N
CO	COREF	94	TEXT	3.0,3.1	N
CO	COVAL	95	TEXT	3.0,3.1	N
CO	COVAL1	96	TEXT	3.0,3.1	N
CO	COVAL2	97	TEXT	3.0,3.1	N
CO	COVAL3	98	TEXT	3.0,3.1	N
CO	COVAL4	99	TEXT	3.0,3.1	N
CO	COVAL5	100	TEXT	3.0,3.1	N
CO	COVAL6	101	TEXT	3.0,3.1	N
CO	COVAL7	102	TEXT	3.0,3.1	N
CO	COVAL8	103	TEXT	3.0,3.1	N
CO	COVAL9	104	TEXT	3.0,3.1	N
CO	COVAL10	105	TEXT	3.0,3.1	N
CO	COEVAL	130	TEXT	3.0,3.1	N
CO	CODTC	131	TEXT	3.0,3.1	N
CO	CODY	132	INTEGER	3.0,3.1	N
CV	STUDYID	1	TEXT	3.1	Y
CV	DOMAIN	2	TEXT	3.1	Y
CV	USUBJID	3	TEXT	3.1	Y
CV	CVSEQ	4	INTEGER	3.1	Y
CV	CVGRPID	5	TEXT	3.1	N
CV	CVSPID	6	TEXT	3.1	N
CV	CVTESTCD	7	TEXT	3.1	Y
CV	CVTEST	8	TEXT	3.1	Y
CV	CVPOS	9	TEXT	3.1	N
CV	CVORRES	10	TEXT	3.1	Y
CV	CVORRESU	11	TEXT	3.1	Y
CV	CVSTRESC	12	TEXT	3.1	Y
CV	CVSTRESN	13	REAL	3.1	Y
CV	CVSTRESU	14	TEXT	3.1	Y
CV	CVSTAT	15	TEXT	3.1	N
CV	CVREASND	16	TEXT	3.1	N
CV	CVMETHOD	17	TEXT	3.1	N
CV	CVCSTATE	18	TEXT	3.1	N
CV	CVBLFL	19	TEXT	3.1	N
CV	CVDRVFL	20	TEXT	3.1	N
CV	CVEXCLFL	21	TEXT	3.1	N
CV	CVREASEX	22	TEXT	3.1	N
CV	CVUSCHFL	23	TEXT	3.1	N
CV	CVDTC	24	TEXT	3.1	N
CV	CVENDTC	25	TEXT	3.1	N
CV	CVDY	26	INTEGER	3.1	N
CV	CVENDY	27	INTEGER	3.1	N
CV	CVNOMDY	28	INTEGER	3.1	N
CV	CVNOMLBL	29	TEXT	3.1	N
CV	CVTPT	30	TEXT	3.1	N
CV	CVTPTNUM	31	REAL	3.1	N
CV	CVELTM	32	TEXT	3.1	N
