Codelist Name	CDISC Submission Value	CDISC Synonym(s)
Neoplasm Type	"ADENOCARCINOMA, MALIGNANT"	ADENOCARCINOMA
Neoplasm Type	"ADENOMA, ACINAR CELL, BENIGN"	"ADENOMA - MIXED ISLET-ACINAR; B-ADENOMA, ACINAR CELL"
Neoplasm Type	"ADENOMA, BENIGN"	ADENOMA; ADENOMA - EXOCRINE; B-ADENOMA
Neoplasm Type	"ADENOMA, BRONCHIOLOALVEOLAR, BENIGN"	"B-ADENOMA, BRONCHIOLO-ALVEOLAR"
Neoplasm Type	"ADENOMA, C-CELL, BENIGN"	"ADENOMA - C-CELL; B-ADENOMA, C-CELL"
Neoplasm Type	"ADENOMA, ENDOMETRIAL, BENIGN"	"B-ADENOMA, ENDOMETRIAL"
Neoplasm Type	"ADENOMA, FOLLICULAR CELL, BENIGN"	"ADENOMA - FOLLICULAR CELL; B-ADENOMA, FOLLICULAR CELL"
Neoplasm Type	"ADENOMA, HEPATOCELLULAR, BENIGN"	"B-ADENOMA, HEPATOCELLULAR"
Neoplasm Type	"ADENOMA, ISLET CELL, BENIGN"	"ADENOMA - ISLET CELL; B-ADENOMA, ISLET CELL"
Neoplasm Type	"ADENOMA, PARS DISTALIS, BENIGN"	"ADENOMA - PARS DISTALIS; B-ADENOMA, PARS DISTALIS"
Neoplasm Type	"ADENOMA, PARS INTERMEDIA, BENIGN"	ADENOMA - PARS INTERMEDIA
Neoplasm Type	"ADENOMA, SEBACEOUS, BENIGN"	"B-ADENOMA, SEBACEOUS"
Neoplasm Type	"ADENOMA, TUBULAR CELL, BENIGN"	"AMPHOPHILIC VACUOLAR TUBULAR ADENOMA; B-ADENOMA, TUBULE CELL, AMPHOPHILIC- VACUOLAR"
Neoplasm Type	"ASTROCYTOMA, MALIGNANT"	"ASTROCYTOMA; ASTROCYTOMA, ANAPLASTIC, MALIGNANT; B-ASTROCYTOMA; M-MALIGNANT ASTROCYTOMA; N-MALIGNANT ASTROCYTOMA, METASTATIC"
Neoplasm Type	"BASAL CELL TUMOR, BENIGN"	BASAL CELL TUMOR; B-BASAL CELL TUMOR
Neoplasm Type	"BASOSQUAMOUS TUMOR, MALIGNANT"	"M-CARCINOMA, BASO-SQUAMOUS"
Neoplasm Type	"CARCINOMA, ACINAR CELL, MALIGNANT"	"M-CARCINOMA, ACINAR CELL"
Neoplasm Type	"CARCINOMA, C-CELL, MALIGNANT"	"CARCINOMA - C-CELL; I-CARCINOMA, C-CELL, LOCALLY INVASIVE; M-CARCINOMA, C-CELL"
Neoplasm Type	"CARCINOMA, FOLLICULAR CELL, MALIGNANT"	"CARCINOMA - FOLLICULAR CELL; M-CARCINOMA, FOLLICULAR CELL"
Neoplasm Type	"CARCINOMA, HEPATOCELLULAR, MALIGNANT"	"M-CARCINOMA, HEPATOCELLULAR"
Neoplasm Type	"CARCINOMA, ISLET CELL, MALIGNANT"	"CARCINOMA - ISLET CELL; M-CARCINOMA, ISLET CELL"
Neoplasm Type	"CARCINOMA, MALIGNANT"	"CARCINOMA; I-CARCINOMA, LOCALLY INVASIVE; M-CARCINOMA; N-CARCINOMA, METASTATIC"
Neoplasm Type	"CARCINOMA, PARS DISTALIS, MALIGNANT"	"CARCINOMA - PARS DISTALIS; M-CARCINOMA, PARS DISTALIS"
Neoplasm Type	"CARCINOMA, RENAL, TUBULAR, MALIGNANT"	B-AMPHOPHILIC-VACUOLAR RENAL TUBULE TUMOR
Neoplasm Type	"CARCINOMA, SQUAMOUS CELL, MALIGNANT"	SQUAMOUS CELL CARCINOMA
Neoplasm Type	"CARCINOMA, TUBULAR CELL, MALIGNANT"	"M-CARCINOMA, TUBULE CELL; M-CARCINOMA, TUBULE CELL, AMPHOPHILIC- VACUOLAR"
Neoplasm Type	"CYSTADENOMA, BENIGN"	CYSTADENOMA
Neoplasm Type	"EPENDYMOMA, BENIGN"	EPENDYMOMA
Neoplasm Type	"FIBROADENOMA, BENIGN"	B-FIBROADENOMA; FIBROADENOMA
Neoplasm Type	"FIBROMA, BENIGN"	B-FIBROMA; FIBROMA
Neoplasm Type	"FIBROSARCOMA, MALIGNANT"	FIBROSARCOMA; M-FIBROSARCOMA
Neoplasm Type	"GLIOMA, MIXED, MALIGNANT"	MIXED GLIOMA
Neoplasm Type	"GRANULAR CELL TUMOR, BENIGN"	B-GRANULAR CELL TUMOR
Neoplasm Type	"GRANULAR CELL TUMOR, MALIGNANT"	M-MALIGNANT GRANULAR CELL TUMOR
Neoplasm Type	"GRANULOSA CELL TUMOR, BENIGN"	B-GRANULOSA/THECA CELL TUMOR
Neoplasm Type	"HAIR FOLLICLE NEOPLASM, BENIGN"	"B-TUMOR, HAIR FOLLICLE, BENIGN"
Neoplasm Type	"HEMANGIOMA, BENIGN"	B-HEMANGIOMA; HEMANGIOMA
